"id","speed","travel_time","status","data_as_of","link_id","link_points","encoded_poly_line","encoded_poly_line_lvls","owner","transcom_id","borough","link_name"
"150","2.48","3425","0","2026-02-21T11:27:13.000","4616340","40.7016405,-73.991121 40.70158,-73.99033 40.7014405,-73.98932 40.70123,-73.98797 40.7011505,-73.987461 40.70094,-73.986521 40.70073,-73.985921 40.70055,-73.985581 40.70029,-73.985211 40.76,-73.984951 40.69975,-73.984681 40.6995605,-73.984551 40.69944,-73.","gplwFnkrbMJ}CZiEh@mGNeBh@{Dh@wBb@cAr@iAl@s@\\|@u@d@YVGl@A^JTVVn@Dt@Gl@Uf@i@j@eA~@gCjAyDhBcCfA_A`@cB\\|@wIbEgF~BuPdI}SzI{KbFeGtC{CJ","BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB","NYC_DOT_LIC","4616340","Manhattan","BQE N Atlantic Ave - MAN Bridge Manhattan Side"
"330","32.93","150","0","2026-02-21T11:27:10.000","4329507","40.75719,-73.99724 40.76017,-74.00382 40.76185,-74.00725 40.76608,-74.01726","mkwwFvqsbMsQbh@oIlTmYp}@","BBBB","PA -Lincoln Tunnel","4329507","Manhattan","LINCOLN TUNNEL W NORTH TUBE NY - NJ"
"265","32.31","206","0","2026-02-21T11:27:10.000","4620298","40.8462505,-73.932161 40.846951,-73.933641 40.8484204,-73.937041 40.8490306,-73.93994 40.8493804,-73.94181 40.8499005,-73.944651 40.8509,-73.950381 40.85139,-73.95283 40.85186,-73.95525 40.852771,-73.95957 40.85302,-73.96052 40.8531905,-73.96133 40.853280","axhxF~zfbMkCfHeHfTyBbQeAtJgBvPgExb@aBhN}AbNuD~Yq@\\|Da@`DQpCY\\|F","BBBBBBBBBBBBBB","PA-GWBridge","4620298","Manhattan","GWB E LOWER LEVEL PLAZA - CBE E LOWER LEVEL AMSTERDAM AVE"
"149","22.99","314","0","2026-02-21T11:27:04.000","4616339","40.6916,-73.99915 40.69236,-73.99939 40.69272,-73.999411 40.69328,-73.99929 40.6940504,-73.999001 40.694461,-73.998831 40.694931,-73.99862 40.69543,-73.99836 40.69592,-73.99813 40.69675,-73.99772 40.6977506,-73.997251 40.698871,-73.996721 40.6993606,-73.9","oqjwFt}sbMwCn@gABoBWkF{AaE}AaBm@mJoDaI}Co@UoAmAyAwBiBiDi@eBg@yB_@mBS{BAuCBeARoCb@{Ej@aA~@_@t@HVXD^C`@u@hBWl@qCtDgChDsH`KyKtNcNjQaCfDiBnCaCrD","BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB","NYC_DOT_LIC","4616339","Manhattan","BQE N Atlantic Ave - BKN Bridge Manhattan Side"
"213","39.14","60","0","2026-02-21T11:27:01.000","4456450","40.80069,-73.92878 40.8013005,-73.930181 40.8014104,-73.93057 40.80143,-73.93084 40.80133,-73.93106 40.8011404,-73.931261 40.80084,-73.931271 40.8006704,-73.93115 40.8005206,-73.930951 40.8001805,-73.930151 40.8705,-73.929931 40.7998905,-73.92972 40.79972","i{_xFzefbMyBvGUlACt@Rj@d@f@z@@`@W\g@bA_DTk@b@i@`@a@n@YhAKjGYp@M`DTtCf@\\|@\xBrA~@z@dBnD","BBBBBBBBBBBBBBBBBBBBBBB","MTA Bridges & Tunnels","4456450","Manhattan","FDR N - TBB E 116TH STREET - MANHATTAN TRUSS"
"445","18.64","308","0","2026-02-21T11:27:00.000","4456494","40.7262006,-74.01112 40.7252805,-74.01128 40.7218105,-74.011981 40.7195505,-74.012471 40.71654,-74.013231 40.714451,-74.01376 40.71251,-74.01429 40.7108405,-74.014721 40.7086904,-74.01542 40.7079305,-74.01572 40.7072,-74.01598","wiqwFnhvbMvD^xb@lFxQvCrb@hHlLjChHnBPgBh@gA\\|@WzANnDv@\\|Cl@\\|ATvBT`E?fFKzD{@zDcAvC}@dD}@zFaBtF}AtF{ApH}DnIqEnOcI~McHxLeGlHcCjHeF","BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB","NYC_DOT_LIC","4456494","Manhattan","West St S Spring St - BBT Manhattan Portal outbound"
"124","39.76","179","0","2026-02-21T11:27:00.000","4456501","40.68036,-74.00441001 40.6822,-74.0057201 40.6837,-74.006440 40.68563,-74.00757 40.6941205,-74.01288001 40.7002801,-74.01529001 40.70121,-74.0156 40.703434,-74.0156101 40.70499,-74.01519 40.70609,-74.01468","gkhwFp~tbMoJdGkHnCaK`Fat@d`@oe@`NyD\\|@{L@wHsA{EeB","BBBBBBBBBB","MTA Bridges & Tunnels","4456501","Manhattan","BBT W Toll Plaza - Manhattan Portal"
"119","35.41","199","0","2026-02-21T11:27:00.000","4456502","40.70631,-74.01501 40.705380,-74.01528 40.70496,-74.01546 40.70374,-74.01574001 40.70304,-74.01582 40.70126,-74.01574 40.70026,-74.01541 40.69408,-74.01304 40.68556,-74.00779 40.68363,-74.00668 40.68213,-74.00602 40.681160,-74.005320 40.6798,-74.00416","mmmwFx`wbMxDt@rAb@rFv@jCNbJOfEaAre@yMft@y_@`K}EjHcC`EkCnGgF","BBBBBBBBBBBBB","MTA Bridges & Tunnels","4456502","Manhattan","BBT E Manhattan Portal - Toll Plaza"
"364","34.17","161","0","2026-02-21T11:27:00.000","4456511","40.745726,-73.97359 40.745616,-73.97305 40.745616,-73.97264001 40.746054,-73.96949001 40.74586,-73.96844 40.745365,-73.96643 40.74304,-73.96157001 40.74244,-73.95983001 40.742185,-73.95887 40.74143,-73.95491001 40.74136,-73.95378001","wcuwF\\|}nbMTkB?qAwAuRd@qEbBqKnMk]vB{Ir@_EtCwWLaF","BBBBBBBBBBB","NYC_DOT_LIC","4456511","Manhattan","QMT E Manhattan Side - Toll Plaza"
"399","32.31","74","0","2026-02-21T11:23:12.000","4456452","40.8011005,-73.92846 40.80151,-73.93066 40.8014,-73.93111 40.8012304,-73.93129 40.80096,-73.93141 40.8007405,-73.93133 40.800501,-73.93106 40.80026,-73.93057 40.81,-73.93002 40.7997606,-73.92972 40.7994205,-73.929511 40.79901,-73.92945 40.79771,-73.929341","{}_xFzcfbMqAvLTxA`@b@t@Vj@On@u@n@aBp@mBp@{@bAi@pAKbGUjCErBTvBf@dB\\|@rAdAf@v@tAnC","BBBBBBBBBBBBBBBBBBBB","MTA Bridges & Tunnels","4456452","Manhattan","TBB W - FDR S MANHATTAN TRUSS - E116TH STREET"
